timestamps,X,Y,Z,IR,RED
18.2052,-0.168137,-0.094076,0.93576,124453,101524
18.252,-0.169137,-0.094076,0.958779,124504,101571
18.2988,-0.168137,-0.092075,0.960781,124684,101646
18.3456,-0.164133,-0.090073,0.963783,124858,101708
18.3924,-0.156127,-0.083067,0.976794,125028,101704
18.4392,-0.169137,-0.091074,0.954776,125127,101747
18.486,-0.175142,-0.095077,0.957778,125159,101813
18.5328,-0.170138,-0.089072,0.957778,125250,101780
18.5796,-0.167136,-0.089072,0.968787,124709,101367
18.6264,-0.168137,-0.094076,0.937762,123975,101192
18.6732,-0.174141,-0.100081,0.953775,123850,101227
18.72,-0.170138,-0.096078,0.956777,124209,101395
18.7668,-0.178145,-0.091074,0.95978,124248,101426
18.8136,-0.181147,-0.096078,0.943767,124244,101387
18.8604,-0.169137,-0.096078,0.957778,124226,101440
18.9072,-0.175142,-0.09808,0.949772,124306,101403
18.954,-0.173141,-0.096078,0.948771,124431,101468
19.0008,-0.17214,-0.092075,0.957778,124484,101551
19.0476,-0.177144,-0.087071,0.94777,124679,101633
19.0944,-0.173141,-0.088072,0.936761,124838,101645
19.1412,-0.174141,-0.095077,0.95978,124852,101654
19.188,-0.168137,-0.094076,0.965785,125035,101551
19.2348,-0.166135,-0.089072,0.965785,124361,101241
19.2816,-0.164133,-0.092075,0.987803,123723,101160
19.3284,-0.159129,-0.08607,0.974792,123737,101246
19.3752,-0.171139,-0.089072,0.969788,123952,101269
19.422,-0.163133,-0.093076,0.97279,124040,101314
19.4688,-0.175142,-0.092075,0.974792,124151,101297
19.5156,-0.161131,-0.088072,0.983799,124228,101332
19.5624,-0.168137,-0.091074,0.955777,124160,101322
19.6092,-0.168137,-0.090073,0.960781,124144,101313
19.656,-0.167136,-0.090073,0.962782,124502,101471
19.7028,-0.169137,-0.097079,0.955777,124550,101535
19.7496,-0.163133,-0.093076,0.970789,124636,101555
19.7964,-0.174141,-0.093076,0.963783,124719,101545
19.8432,-0.166135,-0.092075,0.961781,124816,101552
19.89,-0.163133,-0.090073,0.954776,124868,101586
19.9368,-0.17214,-0.08607,0.963783,124737,101359
19.9836,-0.166135,-0.089072,0.969788,123914,101113
20.0304,-0.176143,-0.089072,0.954776,123615,101108
20.0772,-0.16013,-0.089072,0.965785,123671,101176
20.124,-0.167136,-0.092075,0.961781,123978,101294
20.1708,-0.166135,-0.092075,0.960781,124064,101217
20.2176,-0.161131,-0.093076,0.965785,124041,101202
20.2644,-0.163133,-0.091074,0.953775,124006,101206
20.3112,-0.168137,-0.091074,0.954776,123986,101278
20.358,-0.163133,-0.096078,0.928755,124131,101342
20.4048,-0.168137,-0.089072,0.951773,124272,101374
20.4516,-0.166135,-0.094076,0.940764,124334,101388
20.4984,-0.174141,-0.099081,0.932758,124417,101428
20.5452,-0.180146,-0.097079,0.937762,124488,101396
20.592,-0.17214,-0.092075,0.963783,123944,101053
20.6388,-0.180146,-0.095077,0.953775,123443,101002
20.6856,-0.174141,-0.091074,0.970789,123476,101035
20.7324,-0.163133,-0.087071,0.968787,123634,101027
20.7792,-0.169137,-0.093076,0.967786,123730,101096
20.826,-0.169137,-0.089072,0.958779,123731,101090
20.8728,-0.168137,-0.08607,0.964784,123777,101130
20.9196,-0.163133,-0.088072,0.981798,123781,101080
20.9664,-0.176143,-0.093076,0.968787,123769,101036
21.0132,-0.176143,-0.095077,0.958779,123842,101133
21.06,-0.171139,-0.095077,0.95978,124061,101195
21.1068,-0.159129,-0.08607,0.957778,124177,101187
21.1536,-0.17214,-0.087071,0.958779,124159,101247
21.2004,-0.170138,-0.093076,0.954776,124241,101265
21.2472,-0.173141,-0.089072,0.953775,124323,101144
21.294,-0.165134,-0.084068,0.973791,123782,100911
21.3408,-0.159129,-0.089072,0.969788,123307,100770
21.3876,-0.175142,-0.089072,0.962782,123300,100820
21.4344,-0.176143,-0.096078,0.960781,123382,100867
21.4812,-0.179146,-0.102083,0.964784,123342,100891
21.528,-0.171139,-0.08607,0.956777,123485,100956
21.5748,-0.168137,-0.088072,0.94777,123478,100934
21.6216,-0.18415,-0.090073,0.930756,123491,100957
21.6684,-0.174141,-0.087071,0.954776,123601,100952
21.7152,-0.161131,-0.091074,0.952774,123727,100997
21.762,-0.182148,-0.094076,0.952774,123782,101012
21.8088,-0.180146,-0.089072,0.963783,123911,101015
21.8556,-0.173141,-0.090073,0.964784,123950,101049
21.9024,-0.16013,-0.087071,0.979796,123968,101094
21.9492,-0.158128,-0.091074,0.997811,124046,101126
21.996,-0.167136,-0.092075,0.962782,123314,100722
22.0428,-0.168137,-0.085069,0.990805,123022,100687
22.0896,-0.173141,-0.093076,0.964784,123010,100733
22.1364,-0.178145,-0.096078,0.951773,123126,100791
22.1832,-0.161131,-0.092075,0.94777,123197,100741
22.23,-0.166135,-0.087071,0.957778,123246,100779
22.2768,-0.166135,-0.084068,0.969788,123316,100753
22.3236,-0.171139,-0.094076,0.956777,123315,100750
22.3704,-0.168137,-0.095077,0.946769,123318,100799
22.4172,-0.183149,-0.095077,0.94777,123357,100896
22.464,-0.166135,-0.090073,0.960781,123636,100983
22.5108,-0.178145,-0.09808,0.942766,123742,101026
22.5576,-0.168137,-0.093076,0.989804,123828,101040
22.6044,-0.186151,-0.092075,0.978795,123874,101092
22.6512,-0.17214,-0.092075,0.952774,123968,101127
22.698,-0.176143,-0.091074,0.978795,124069,101186
22.7448,-0.165134,-0.088072,0.970789,124218,101152
22.7916,-0.167136,-0.087071,0.965785,123682,100777
22.8384,-0.173141,-0.092075,0.93576,123047,100584
22.8852,-0.164133,-0.087071,0.964784,122952,100627
22.932,-0.165134,-0.090073,0.963783,123157,100755
22.9788,-0.157128,-0.08607,0.9848,123238,100833
23.0256,-0.166135,-0.085069,0.973791,123288,100826
23.0724,-0.171139,-0.091074,0.970789,123270,100798
23.1192,-0.177144,-0.095077,0.962782,123301,100758
23.166,-0.167136,-0.093076,0.969788,123358,100858
23.2128,-0.166135,-0.095077,0.973791,123515,100916
23.2596,-0.180146,-0.093076,0.938763,123645,101025
23.3064,-0.175142,-0.094076,0.953775,123746,101045
23.3532,-0.17214,-0.09808,0.951773,123852,101049
23.4,-0.168137,-0.094076,0.966785,124019,101045
23.4468,-0.163133,-0.087071,0.975793,124154,101149
23.4936,-0.161131,-0.084068,0.963783,124238,101196
23.5404,-0.166135,-0.090073,0.943767,123772,100798
23.5872,-0.175142,-0.093076,0.93576,123009,100680
23.634,-0.166135,-0.088072,0.967786,122936,100720
23.6808,-0.161131,-0.095077,0.9848,123071,100714
23.7276,-0.166135,-0.088072,0.977794,123130,100714
23.7744,-0.13511,-0.081066,1.000813,123233,100769
23.8212,-0.16013,-0.093076,0.960781,123343,100795
23.868,-0.167136,-0.091074,0.962782,123287,100822
23.9148,-0.166135,-0.092075,0.9848,123321,100862
23.9616,-0.17214,-0.091074,0.97179,123521,100940
24.0084,-0.164133,-0.087071,0.956777,123664,100992
24.0552,-0.167136,-0.091074,0.961781,123782,101053
24.102,-0.17214,-0.092075,0.952774,123880,101091
24.1488,-0.164133,-0.088072,0.968787,123912,101083
24.1956,-0.167136,-0.091074,0.960781,124011,101136
24.2424,-0.166135,-0.088072,0.970789,124162,101151
24.2892,-0.163133,-0.089072,0.942766,124228,101148
24.336,-0.17214,-0.088072,0.965785,122944,100698
24.3828,-0.170138,-0.08607,0.964784,123027,100774
24.4296,-0.17214,-0.090073,0.946769,123174,100742
24.4764,-0.170138,-0.093076,0.953775,123176,100778
24.5232,-0.173141,-0.088072,0.95978,123289,100830
24.57,-0.170138,-0.083067,0.948771,123324,100841
24.6168,-0.170138,-0.089072,0.951773,123327,100821
24.6636,-0.169137,-0.09808,0.94777,123327,100823
24.7104,-0.179146,-0.094076,0.941765,123477,100880
24.7572,-0.169137,-0.089072,0.949772,123648,100956
24.804,-0.165134,-0.087071,0.962782,124048,101080
24.8508,-0.165134,-0.093076,0.970789,124127,101139
24.8976,-0.165134,-0.090073,0.956777,124189,101140
24.9444,-0.162132,-0.091074,0.955777,124316,101189
24.9912,-0.171139,-0.091074,0.962782,124468,101305
25.038,-0.169137,-0.092075,0.962782,124558,101116
25.0848,-0.170138,-0.091074,0.956777,123559,100745
25.1316,-0.177144,-0.093076,0.95978,123029,100643
25.1784,-0.175142,-0.094076,0.958779,123030,100691
25.2252,-0.166135,-0.091074,0.952774,123195,100790
25.272,-0.168137,-0.089072,0.958779,123431,100829
25.3188,-0.176143,-0.091074,0.951773,123410,100835
25.3656,-0.170138,-0.088072,0.953775,123429,100871
25.4124,-0.166135,-0.088072,0.967786,123406,100909
25.4592,-0.174141,-0.089072,0.961781,123634,100997
25.506,-0.176143,-0.090073,0.961781,123778,101091
25.5528,-0.161131,-0.08607,0.978795,123976,101151
25.5996,-0.16013,-0.087071,0.97179,124149,101201
25.6464,-0.158128,-0.088072,0.97279,124269,101237
25.6932,-0.156127,-0.08607,0.973791,124349,101256
25.74,-0.169137,-0.088072,0.965785,124779,101391
25.7868,-0.165134,-0.089072,0.964784,124443,101051
25.8336,-0.173141,-0.091074,0.970789,123308,100746
25.8804,-0.173141,-0.089072,0.948771,123074,100799
25.9272,-0.156127,-0.082067,0.978795,123211,100882
25.974,-0.161131,-0.08607,0.93576,123376,100890
26.0208,-0.167136,-0.092075,0.961781,123439,100963
26.0676,-0.165134,-0.085069,0.955777,123568,100976
26.1144,-0.166135,-0.092075,0.962782,123651,100995
26.1612,-0.169137,-0.088072,0.965785,123597,101005
26.208,-0.164133,-0.088072,0.961781,123879,101146
26.2548,-0.161131,-0.090073,0.963783,124138,101157
26.3016,-0.166135,-0.091074,0.951773,124284,101287
26.3484,-0.158128,-0.096078,0.979796,124503,101341
26.3952,-0.161131,-0.083067,0.994808,124651,101376
26.442,-0.171139,-0.087071,0.964784,124773,101390
26.4888,-0.16013,-0.077063,0.982799,124908,101401
26.5356,-0.162132,-0.085069,0.964784,124955,101526
26.5824,-0.164133,-0.088072,0.969788,125177,101539
26.6292,-0.177144,-0.08607,0.966785,124630,100971
26.676,-0.165134,-0.08607,0.960781,123317,100870
26.7228,-0.168137,-0.084068,0.968787,123488,100976
26.7696,-0.17214,-0.090073,0.963783,123678,101055
26.8164,-0.169137,-0.089072,0.965785,123815,101050
26.8632,-0.173141,-0.096078,0.95978,123932,101060
26.91,-0.168137,-0.089072,0.97279,123837,101073
26.9568,-0.173141,-0.091074,0.946769,123795,101073
27.0036,-0.165134,-0.084068,0.957778,123902,101124
27.0504,-0.162132,-0.088072,0.970789,124062,101230
27.0972,-0.177144,-0.087071,0.954776,124387,101352
27.144,-0.166135,-0.092075,0.956777,124935,101472
27.1908,-0.17214,-0.097079,0.953775,125089,101526
27.2376,-0.161131,-0.093076,0.957778,125254,101564
27.2844,-0.168137,-0.088072,0.960781,124787,101178
27.3312,-0.164133,-0.090073,0.954776,123528,100854
27.378,-0.168137,-0.092075,0.961781,123313,100837
27.4248,-0.169137,-0.093076,0.955777,123387,100965
27.4716,-0.180146,-0.09808,0.952774,123665,100988
27.5184,-0.166135,-0.090073,0.974792,123819,101114
27.5652,-0.158128,-0.088072,0.964784,123972,101160
27.612,-0.166135,-0.092075,0.965785,123959,101119
27.6588,-0.159129,-0.089072,0.968787,124104,101268
27.7056,-0.159129,-0.089072,0.962782,124377,101392
27.7524,-0.171139,-0.091074,0.937762,124663,101467
27.7992,-0.17214,-0.093076,0.952774,124955,101465
27.846,-0.174141,-0.097079,0.967786,125101,101575
27.8928,-0.173141,-0.088072,0.969788,125234,101570
27.9396,-0.164133,-0.088072,0.97179,125303,101668
27.9864,-0.165134,-0.090073,0.954776,125452,101518
28.0332,-0.176143,-0.099081,0.950773,124185,100976
28.08,-0.164133,-0.091074,0.963783,123420,100968
28.1268,-0.164133,-0.084068,0.954776,123665,101072
28.1736,-0.167136,-0.087071,0.957778,123819,101089
28.2204,-0.161131,-0.08607,0.975793,123923,101176
28.2672,-0.164133,-0.08607,0.962782,124044,101176
28.314,-0.169137,-0.091074,0.964784,123980,101100
28.3608,-0.166135,-0.095077,0.950773,123935,101154
28.4076,-0.171139,-0.095077,0.957778,124041,101244
28.4544,-0.163133,-0.095077,0.962782,124359,101397
28.5012,-0.176143,-0.097079,0.948771,124635,101483
28.548,-0.166135,-0.091074,0.966785,125215,101641
28.5948,-0.158128,-0.092075,0.962782,125358,101643
28.6416,-0.170138,-0.08607,0.966785,125446,101720
28.6884,-0.169137,-0.095077,0.961781,125374,101348
28.7352,-0.17214,-0.090073,0.961781,123778,100915
28.782,-0.169137,-0.097079,0.948771,123363,100869
28.8288,-0.181147,-0.091074,0.955777,123471,101027
28.8756,-0.173141,-0.094076,0.966785,123712,101029
28.9224,-0.174141,-0.08607,0.962782,123782,101099
28.9692,-0.169137,-0.089072,0.954776,123914,101167
29.016,-0.16013,-0.089072,0.963783,123990,101132
29.0628,-0.152124,-0.089072,0.964784,124065,101277
29.1096,-0.162132,-0.093076,0.977794,124357,101331
29.1564,-0.176143,-0.091074,0.97179,124616,101431
29.2032,-0.169137,-0.088072,0.989804,124871,101513
29.25,-0.16013,-0.093076,0.977794,125047,101581
29.2968,-0.167136,-0.093076,0.982799,125181,101630
29.3436,-0.177144,-0.096078,0.936761,125298,101664
29.3904,-0.166135,-0.093076,0.969788,125412,101707
29.4372,-0.171139,-0.092075,0.962782,125600,101690
29.484,-0.166135,-0.095077,0.95978,123398,100991
29.5308,-0.165134,-0.092075,0.961781,123617,101038
29.5776,-0.165134,-0.090073,0.954776,123839,101101
29.6244,-0.169137,-0.088072,0.956777,123888,101171
29.6712,-0.175142,-0.090073,0.962782,124052,101204
29.718,-0.182148,-0.096078,0.949772,124087,101138
29.7648,-0.161131,-0.091074,0.958779,124032,101108
29.8116,-0.159129,-0.090073,0.970789,124094,101154
29.8584,-0.173141,-0.091074,0.944768,124258,101283
29.9052,-0.170138,-0.091074,0.953775,124528,101386
29.952,-0.165134,-0.089072,0.95978,125093,101573
29.9988,-0.165134,-0.089072,0.958779,125161,101632
30.0456,-0.173141,-0.096078,0.951773,125339,101625
30.0924,-0.165134,-0.095077,0.961781,125497,101654
30.1392,-0.16013,-0.090073,0.980797,125057,101236
30.186,-0.163133,-0.094076,0.954776,123697,100891
30.2328,-0.164133,-0.088072,0.962782,123436,100904
30.2796,-0.165134,-0.08607,0.977794,123576,101036
30.3264,-0.155126,-0.089072,0.975793,123747,101062
30.3732,-0.16013,-0.088072,0.966785,123943,101162
30.42,-0.161131,-0.089072,0.964784,123931,101147
30.4668,-0.167136,-0.091074,0.953775,124001,101213
30.5136,-0.165134,-0.093076,0.952774,124156,101260
30.5604,-0.169137,-0.094076,0.962782,124441,101338
30.6072,-0.17214,-0.089072,0.953775,124698,101388
30.654,-0.163133,-0.081066,0.976794,124885,101506
30.7008,-0.159129,-0.090073,0.966785,124972,101548
30.7476,-0.168137,-0.088072,0.981798,125153,101590
30.7944,-0.164133,-0.091074,0.960781,125228,101547
30.8412,-0.150122,-0.08607,0.960781,124393,101059
30.888,-0.162132,-0.088072,0.963783,123403,100920
30.9348,-0.173141,-0.092075,0.942766,123586,101031
30.9816,-0.169137,-0.094076,0.955777,123717,101121
