timestamps,IR,RED
34.0236,123484,100926
34.0704,123627,100979
34.1172,123774,101035
34.164,124097,101076
34.2108,124221,101218
34.2576,124095,100950
34.3044,123155,100579
34.3512,122701,100545
34.398,122742,100613
34.4448,122922,100628
34.4916,123016,100674
34.5384,123093,100752
34.5852,123137,100726
34.632,123184,100798
34.6788,123373,100873
34.7256,123542,100984
34.7724,123714,101024
34.8192,123780,101054
34.866,123917,101052
34.9128,123992,101050
34.9596,124053,101093
35.0064,124175,101219
35.0532,124192,100909
35.1,122685,100522
35.1468,122836,100569
35.1936,122930,100600
35.2404,122911,100675
35.2872,123030,100749
35.334,123093,100711
35.3808,123061,100754
35.4276,123183,100695
35.4744,123278,100818
35.5212,123502,100836
35.568,123799,101018
35.6148,123892,101050
35.6616,124081,101084
35.7084,124328,101118
35.7552,124370,101191
35.802,124186,100902
35.8488,123097,100599
35.8956,122836,100513
35.9424,122893,100585
35.9892,123020,100643
36.036,123260,100813
36.0828,123251,100753
36.1296,123282,100770
36.1764,123440,100862
36.2232,123542,100952
36.27,123791,101017
36.3168,124008,101119
36.3636,124171,101160
36.4104,124214,101171
36.4572,124289,101199
36.504,124627,101095
36.5508,123456,100622
36.5976,122886,100598
36.6444,122892,100680
36.6912,123117,100789
36.738,123227,100803
36.7848,123314,100819
36.8316,123435,100862
36.8784,123411,100812
36.9252,123455,100790
36.972,123866,101051
37.0188,124136,101097
37.0656,124244,101134
37.1124,124387,101197
37.1592,124415,101258
37.206,124600,101367
37.2528,124733,101182
37.2996,123710,100777
37.3464,123093,100631
37.3932,122965,100704
37.44,123377,100844
37.4868,123594,100873
37.5336,123600,100868
37.5804,123509,100898
37.6272,123562,100952
37.674,123774,101068
37.7208,124025,101147
37.7676,124276,101251
37.8144,124426,101272
37.8612,124578,101333
37.908,124822,101208
37.9548,123633,100805
38.0016,123091,100700
38.0484,123165,100701
38.0952,123298,100856
38.142,123403,100883
38.1888,123548,100870
38.2356,123683,100917
38.2824,123674,100967
38.3292,123650,100949
38.376,124070,101107
38.4228,124353,101223
38.4696,124518,101321
38.5164,124652,101368
38.5632,124773,101416
38.61,124925,101392
38.6568,124965,101221
38.7036,123747,100806
38.7504,123208,100668
38.7972,123194,100786
38.844,123581,100867
38.8908,123647,101006
38.9376,123768,101027
38.9844,123749,100943
39.0312,123803,101024
39.078,123949,101117
39.1248,124206,101228
39.1716,124493,101336
39.2184,124717,101427
39.2652,124886,101424
39.312,125224,101550
39.3588,124925,101055
39.4056,123453,100776
39.4524,123211,100818
39.4992,123366,100904
39.546,123602,100962
39.5928,123729,100995
39.6396,123895,101090
39.6864,123942,101035
39.7332,123836,101044
39.78,124264,101273
39.8268,124557,101261
39.8736,124765,101320
39.9204,124909,101397
39.9672,124985,101469
40.014,125023,101331
40.0608,123919,100870
40.1076,123275,100741
40.1544,123306,100834
40.2012,123461,100929
40.248,123895,101069
40.2948,123909,101060
40.3416,123883,101067
40.3884,123907,101096
40.4352,124075,101129
40.482,124304,101253
40.5288,124595,101350
40.5756,124729,101406
40.6224,124902,101453
40.6692,125060,101450
40.716,123948,100849
40.7628,123282,100794
40.8096,123290,100863
40.8564,123491,100931
40.9032,123661,100898
40.95,123752,100961
40.9968,123890,101001
41.0436,123870,100992
41.0904,123840,101049
41.1372,123911,101049
41.184,124437,101315
41.2308,124639,101371
41.2776,124790,101353
41.3244,124849,101439
41.3712,125032,101428
41.418,124978,101148
41.4648,123701,100761
41.5116,123209,100798
41.5584,123334,100870
41.6052,123529,100942
41.652,123827,101006
41.6988,123811,100955
41.7456,123843,100961
41.7924,123906,100984
41.8392,124035,101106
41.886,124273,101195
41.9328,124432,101323
41.9796,124672,101385
42.0264,124826,101408
42.0732,124936,101476
42.12,124024,100849
42.1668,123249,100750
42.2136,123294,100841
42.2604,123514,100915
42.3072,123674,100887
42.354,123777,101010
42.4008,123881,101032
42.4476,123873,100933
42.4944,123814,101001
42.5412,123852,101074
42.588,124555,101364
42.6348,124760,101380
42.6816,124865,101426
42.7284,124975,101479
42.7752,125102,101475
