timestamps,X,Y,Z,activities
19.3752,-0.171139,-0.089072,0.969788,2
19.422,-0.163133,-0.093076,0.97279,2
19.4688,-0.175142,-0.092075,0.974792,2
19.5156,-0.161131,-0.088072,0.983799,2
19.5624,-0.168137,-0.091074,0.955777,2
19.6092,-0.168137,-0.090073,0.960781,2
19.656,-0.167136,-0.090073,0.962782,2
19.7028,-0.169137,-0.097079,0.955777,2
19.7496,-0.163133,-0.093076,0.970789,2
19.7964,-0.174141,-0.093076,0.963783,2
19.8432,-0.166135,-0.092075,0.961781,2
19.89,-0.163133,-0.090073,0.954776,2
19.9368,-0.17214,-0.08607,0.963783,2
19.9836,-0.166135,-0.089072,0.969788,2
20.0304,-0.176143,-0.089072,0.954776,2
20.0772,-0.16013,-0.089072,0.965785,2
20.124,-0.167136,-0.092075,0.961781,2
20.1708,-0.166135,-0.092075,0.960781,2
20.2176,-0.161131,-0.093076,0.965785,2
20.2644,-0.163133,-0.091074,0.953775,2
20.3112,-0.168137,-0.091074,0.954776,2
20.358,-0.163133,-0.096078,0.928755,2
20.4048,-0.168137,-0.089072,0.951773,2
20.4516,-0.166135,-0.094076,0.940764,2
20.4984,-0.174141,-0.099081,0.932758,2
20.5452,-0.180146,-0.097079,0.937762,2
20.592,-0.17214,-0.092075,0.963783,2
20.6388,-0.180146,-0.095077,0.953775,2
20.6856,-0.174141,-0.091074,0.970789,2
20.7324,-0.163133,-0.087071,0.968787,2
20.7792,-0.169137,-0.093076,0.967786,2
20.826,-0.169137,-0.089072,0.958779,2
20.8728,-0.168137,-0.08607,0.964784,2
20.9196,-0.163133,-0.088072,0.981798,2
20.9664,-0.176143,-0.093076,0.968787,2
21.0132,-0.176143,-0.095077,0.958779,2
21.06,-0.171139,-0.095077,0.95978,2
21.1068,-0.159129,-0.08607,0.957778,2
21.1536,-0.17214,-0.087071,0.958779,2
21.2004,-0.170138,-0.093076,0.954776,2
21.2472,-0.173141,-0.089072,0.953775,2
21.294,-0.165134,-0.084068,0.973791,2
21.3408,-0.159129,-0.089072,0.969788,2
21.3876,-0.175142,-0.089072,0.962782,2
21.4344,-0.176143,-0.096078,0.960781,2
21.4812,-0.179146,-0.102083,0.964784,2
21.528,-0.171139,-0.08607,0.956777,2
21.5748,-0.168137,-0.088072,0.94777,2
21.6216,-0.18415,-0.090073,0.930756,2
21.6684,-0.174141,-0.087071,0.954776,2
21.7152,-0.161131,-0.091074,0.952774,2
21.762,-0.182148,-0.094076,0.952774,2
21.8088,-0.180146,-0.089072,0.963783,2
21.8556,-0.173141,-0.090073,0.964784,2
21.9024,-0.16013,-0.087071,0.979796,2
21.9492,-0.158128,-0.091074,0.997811,2
21.996,-0.167136,-0.092075,0.962782,2
22.0428,-0.168137,-0.085069,0.990805,2
22.0896,-0.173141,-0.093076,0.964784,2
22.1364,-0.178145,-0.096078,0.951773,2
22.1832,-0.161131,-0.092075,0.94777,2
22.23,-0.166135,-0.087071,0.957778,2
22.2768,-0.166135,-0.084068,0.969788,2
22.3236,-0.171139,-0.094076,0.956777,2
22.3704,-0.168137,-0.095077,0.946769,2
22.4172,-0.183149,-0.095077,0.94777,2
22.464,-0.166135,-0.090073,0.960781,2
22.5108,-0.178145,-0.09808,0.942766,2
22.5576,-0.168137,-0.093076,0.989804,2
22.6044,-0.186151,-0.092075,0.978795,2
22.6512,-0.17214,-0.092075,0.952774,2
22.698,-0.176143,-0.091074,0.978795,2
22.7448,-0.165134,-0.088072,0.970789,2
22.7916,-0.167136,-0.087071,0.965785,2
22.8384,-0.173141,-0.092075,0.93576,2
22.8852,-0.164133,-0.087071,0.964784,2
22.932,-0.165134,-0.090073,0.963783,2
22.9788,-0.157128,-0.08607,0.9848,2
23.0256,-0.166135,-0.085069,0.973791,2
23.0724,-0.171139,-0.091074,0.970789,2
23.1192,-0.177144,-0.095077,0.962782,2
23.166,-0.167136,-0.093076,0.969788,2
23.2128,-0.166135,-0.095077,0.973791,2
23.2596,-0.180146,-0.093076,0.938763,2
23.3064,-0.175142,-0.094076,0.953775,2
23.3532,-0.17214,-0.09808,0.951773,2
23.4,-0.168137,-0.094076,0.966785,2
23.4468,-0.163133,-0.087071,0.975793,2
23.4936,-0.161131,-0.084068,0.963783,2
23.5404,-0.166135,-0.090073,0.943767,2
23.5872,-0.175142,-0.093076,0.93576,2
23.634,-0.166135,-0.088072,0.967786,2
23.6808,-0.161131,-0.095077,0.9848,2
23.7276,-0.166135,-0.088072,0.977794,2
23.7744,-0.13511,-0.081066,1.000813,2
23.8212,-0.16013,-0.093076,0.960781,2
23.868,-0.167136,-0.091074,0.962782,2
23.9148,-0.166135,-0.092075,0.9848,2
23.9616,-0.17214,-0.091074,0.97179,2
24.0084,-0.164133,-0.087071,0.956777,2
24.0552,-0.167136,-0.091074,0.961781,2
24.102,-0.17214,-0.092075,0.952774,2
24.1488,-0.164133,-0.088072,0.968787,2
24.1956,-0.167136,-0.091074,0.960781,2
24.2424,-0.166135,-0.088072,0.970789,2
24.2892,-0.163133,-0.089072,0.942766,2
24.336,-0.17214,-0.088072,0.965785,2
24.3828,-0.170138,-0.08607,0.964784,2
24.4296,-0.17214,-0.090073,0.946769,2
24.4764,-0.170138,-0.093076,0.953775,2
24.5232,-0.173141,-0.088072,0.95978,2
24.57,-0.170138,-0.083067,0.948771,2
24.6168,-0.170138,-0.089072,0.951773,2
24.6636,-0.169137,-0.09808,0.94777,2
24.7104,-0.179146,-0.094076,0.941765,2
24.7572,-0.169137,-0.089072,0.949772,2
24.804,-0.165134,-0.087071,0.962782,2
24.8508,-0.165134,-0.093076,0.970789,2
24.8976,-0.165134,-0.090073,0.956777,2
24.9444,-0.162132,-0.091074,0.955777,2
24.9912,-0.171139,-0.091074,0.962782,2
25.038,-0.169137,-0.092075,0.962782,2
25.0848,-0.170138,-0.091074,0.956777,2
25.1316,-0.177144,-0.093076,0.95978,2
25.1784,-0.175142,-0.094076,0.958779,2
25.2252,-0.166135,-0.091074,0.952774,2
25.272,-0.168137,-0.089072,0.958779,2
25.3188,-0.176143,-0.091074,0.951773,2
25.3656,-0.170138,-0.088072,0.953775,2
25.4124,-0.166135,-0.088072,0.967786,2
25.4592,-0.174141,-0.089072,0.961781,2
25.506,-0.176143,-0.090073,0.961781,2
25.5528,-0.161131,-0.08607,0.978795,2
25.5996,-0.16013,-0.087071,0.97179,2
25.6464,-0.158128,-0.088072,0.97279,2
25.6932,-0.156127,-0.08607,0.973791,2
25.74,-0.169137,-0.088072,0.965785,2
25.7868,-0.165134,-0.089072,0.964784,2
25.8336,-0.173141,-0.091074,0.970789,2
25.8804,-0.173141,-0.089072,0.948771,2
25.9272,-0.156127,-0.082067,0.978795,2
25.974,-0.161131,-0.08607,0.93576,2
26.0208,-0.167136,-0.092075,0.961781,2
26.0676,-0.165134,-0.085069,0.955777,2
26.1144,-0.166135,-0.092075,0.962782,2
26.1612,-0.169137,-0.088072,0.965785,2
26.208,-0.164133,-0.088072,0.961781,2
26.2548,-0.161131,-0.090073,0.963783,2
26.3016,-0.166135,-0.091074,0.951773,2
26.3484,-0.158128,-0.096078,0.979796,2
26.3952,-0.161131,-0.083067,0.994808,2
26.442,-0.171139,-0.087071,0.964784,2
26.4888,-0.16013,-0.077063,0.982799,2
26.5356,-0.162132,-0.085069,0.964784,2
26.5824,-0.164133,-0.088072,0.969788,2
26.6292,-0.177144,-0.08607,0.966785,2
26.676,-0.165134,-0.08607,0.960781,2
26.7228,-0.168137,-0.084068,0.968787,2
26.7696,-0.17214,-0.090073,0.963783,2
26.8164,-0.169137,-0.089072,0.965785,2
26.8632,-0.173141,-0.096078,0.95978,2
26.91,-0.168137,-0.089072,0.97279,2
26.9568,-0.173141,-0.091074,0.946769,2
27.0036,-0.165134,-0.084068,0.957778,2
27.0504,-0.162132,-0.088072,0.970789,2
27.0972,-0.177144,-0.087071,0.954776,2
27.144,-0.166135,-0.092075,0.956777,2
27.1908,-0.17214,-0.097079,0.953775,2
27.2376,-0.161131,-0.093076,0.957778,2
27.2844,-0.168137,-0.088072,0.960781,2
27.3312,-0.164133,-0.090073,0.954776,2
