time(second),IR,RED,,,,,,,,,
6.34,216579,228136,,,,,,,,,
6.36,216717,228159,,,,,,,,,
6.38,216584,228148,,,,,,,,,
6.4,216711,228188,,,,,,,,,
6.42,216590,228226,,,,,,,,,
6.44,216710,228216,,,,,,,,,
6.46,216755,228237,,,,,,,,,
6.48,216712,228464,,,,,,,,,
6.5,216876,228387,,,,,,,,,
6.52,216727,228435,,,,,,,,,
6.54,216812,228466,,,,,,,,,
6.56,216790,228540,,,,,,,,,
6.58,216825,228629,,,,,,,,,
6.6,216810,228636,,,,,,,,,
6.62,216787,228869,,,,,,,,,
6.64,216996,228826,,,,,,,,,
6.66,216859,228913,,,,,,,,,
6.68,216886,228934,,,,,,,,,
6.7,216964,229007,,,,,,,,,
6.72,216956,229018,,,,,,,,,
6.74,216968,229122,,,,,,,,,
6.76,216991,229210,,,,,,,,,
6.78,216951,229226,,,,,,,,,
6.8,217040,229338,,,,,,,,,
6.82,217051,229437,,,,,,,,,
6.84,217007,229482,,,,,,,,,
6.86,217105,229526,,,,,,,,,
6.88,217112,229605,,,,,,,,,
6.9,217068,229617,,,,,,,,,
6.92,217168,229737,,,,,,,,,
6.94,217194,229815,,,,,,,,,
6.96,217144,229899,,,,,,,,,
6.98,217204,229905,,,,,,,,,
7,217335,229986,,,,,,,,,
7.02,217133,230006,,,,,,,,,
7.04,217200,229828,,,,,,,,,
7.06,217239,229659,,,,,,,,,
7.08,217041,229492,,,,,,,,,
7.1,217013,229248,,,,,,,,,
7.12,217098,229156,,,,,,,,,
7.14,216890,229046,,,,,,,,,
7.16,216864,229033,,,,,,,,,
7.18,216984,228808,,,,,,,,,
7.2,216834,228733,,,,,,,,,
7.22,216745,228781,,,,,,,,,
7.24,216910,228627,,,,,,,,,
7.26,216654,228734,,,,,,,,,
7.28,216906,228691,,,,,,,,,
7.3,216627,228833,,,,,,,,,
7.32,216945,228768,,,,,,,,,
7.34,216684,228869,,,,,,,,,
7.36,216968,228776,,,,,,,,,
7.38,216666,228896,,,,,,,,,
7.4,216939,228806,,,,,,,,,
7.42,216700,228943,,,,,,,,,
7.44,216915,228877,,,,,,,,,
7.46,216765,228910,,,,,,,,,
7.48,216884,228913,,,,,,,,,
7.5,216828,229023,,,,,,,,,
7.52,216886,229046,,,,,,,,,
7.54,216832,229099,,,,,,,,,
7.56,216885,229112,,,,,,,,,
7.58,216989,229216,,,,,,,,,
7.6,216883,229224,,,,,,,,,
7.62,216958,229322,,,,,,,,,
7.64,216919,229356,,,,,,,,,
7.66,216944,229418,,,,,,,,,
7.68,217109,229489,,,,,,,,,
7.7,216897,229542,,,,,,,,,
7.72,216993,229592,,,,,,,,,
7.74,217184,229655,,,,,,,,,
7.76,216995,229731,,,,,,,,,
7.78,217067,229752,,,,,,,,,
7.8,217234,229839,,,,,,,,,
7.82,217030,229933,,,,,,,,,
7.84,217132,229891,,,,,,,,,
7.86,217301,229998,,,,,,,,,
7.88,217137,230078,,,,,,,,,
7.9,217188,230243,,,,,,,,,
7.92,217346,230209,,,,,,,,,
7.94,217132,230295,,,,,,,,,
7.96,217260,230239,,,,,,,,,
7.98,217383,230356,,,,,,,,,
8,217203,230332,,,,,,,,,
8.02,217225,230099,,,,,,,,,
8.04,217297,229983,,,,,,,,,
8.06,217064,229812,,,,,,,,,
8.08,217040,229599,,,,,,,,,
8.1,217098,229515,,,,,,,,,
8.12,216896,229358,,,,,,,,,
8.14,216934,229274,,,,,,,,,
8.16,216928,229207,,,,,,,,,
8.18,216806,229058,,,,,,,,,
8.2,216864,229023,,,,,,,,,
8.22,216797,229002,,,,,,,,,
8.24,216809,229031,,,,,,,,,
8.26,216791,229067,,,,,,,,,
8.28,216837,229087,,,,,,,,,
8.3,216846,229114,,,,,,,,,
8.32,216843,229099,,,,,,,,,
8.34,216819,229114,,,,,,,,,
8.36,216821,229106,,,,,,,,,
8.38,216848,229122,,,,,,,,,
8.4,216831,229089,,,,,,,,,
8.42,216980,229215,,,,,,,,,
8.44,216792,229262,,,,,,,,,
8.46,216946,229258,,,,,,,,,
8.48,216846,229294,,,,,,,,,
8.5,216915,229303,,,,,,,,,
